#;Game;Release date;Price;Score rank(Userscore / Metascore);Owners;Players;Playtime (Median);Developer(s);Publisher(s)
28;Dota 2;Jul 9, 2013;Free;68% (87%/90%);100,000,000 .. 200,000,000;27 %;29:43 (12:03);Valve;Valve
15;Team Fortress 2;Oct 10, 2007;Free;87% (93%/92%);20,000,000 .. 50,000,000;11 %;16:20 (02:35);Valve;Valve
89;PLAYERUNKNOWN'S BATTLEGROUNDS;Dec 21, 2017;$29.99;13% (52%/86%);20,000,000 .. 50,000,000;53 %;16:36 (07:29);PUBG Corporation;PUBG Corporation
169;Counter-Strike: Global Offensive;Aug 21, 2012;$14.99;70% (88%/83%);20,000,000 .. 50,000,000;49 %;19:59 (08:53);Valve;Valve
608;Warframe;Mar 25, 2013;Free;79% (91%/71%);20,000,000 .. 50,000,000;7 %;16:37 (02:39);Digital Extremes;Digital Extremes
2745;Unturned;Jul 7, 2017;Free;76% (90%);20,000,000 .. 50,000,000;8 %;09:35 (01:11);Smartly Dressed Games;Smartly Dressed Games
3;Half-Life 2;Nov 16, 2004;$9.99;95% (96%/96%);10,000,000 .. 20,000,000;5 %;04:10 (00:02);Valve;Valve
4;Portal 2;Apr 18, 2011;$19.99;99% (98%/95%);10,000,000 .. 20,000,000;5 %;04:24 (00:14);Valve;Valve
46;Left 4 Dead 2;Nov 16, 2009;$19.99;95% (96%/89%);10,000,000 .. 20,000,000;11 %;05:02 (00:16);Valve;Valve
60;Counter-Strike;Nov 1, 2000;$9.99;95% (96%/88%);10,000,000 .. 20,000,000;12 %;10:27 (00:08);Valve;Valve
61;Counter-Strike: Source;Nov 1, 2004;$19.99;93% (95%/88%);10,000,000 .. 20,000,000;8 %;11:23 (00:15);Valve;Valve
163;Paladins;May 8, 2018;Free;60% (84%/83%);10,000,000 .. 20,000,000;9 %;08:44 (01:02);Hi-Rez Studios;Hi-Rez Studios
259;War Thunder;Aug 15, 2013;Free;53% (81%/81%);10,000,000 .. 20,000,000;7 %;09:29 (01:20);Gaijin Entertainment;Gaijin Entertainment
325;PAYDAY 2;Aug 13, 2013;$9.99;57% (83%/79%);10,000,000 .. 20,000,000;11 %;12:16 (07:54);OVERKILL - a Starbreeze Studio.;Starbreeze Publishing AB
633;H1Z1;Feb 28, 2018;Free;15% (56%/70%);10,000,000 .. 20,000,000;8 %;07:31 (00:31);Daybreak Game Company;Daybreak Game Company
752;Counter-Strike: Condition Zero;Mar 1, 2004;$9.99;70% (88%/65%);10,000,000 .. 20,000,000;1 %;00:36 (00:08);Valve;Valve
756;Counter-Strike: Condition Zero;Mar 1, 2004;$9.99;70% (88%/65%);10,000,000 .. 20,000,000;2 %;01:10 (00:03);Valve;Valve
1958;Half-Life 2: Lost Coast;Oct 27, 2005;N/A;60% (84%);10,000,000 .. 20,000,000;2 %;00:06 (00:01);Valve;Valve
1961;Garry's Mod;Nov 29, 2006;$9.99;93% (95%);10,000,000 .. 20,000,000;16 %;10:24 (02:02);Facepunch Studios;Valve
1978;Half-Life 2: Deathmatch;Nov 1, 2004;$4.99;68% (87%);10,000,000 .. 20,000,000;3 %;00:06 (00:01);Valve;Valve
2142;Robocraft;Aug 24, 2017;Free;35% (72%);10,000,000 .. 20,000,000;2 %;16:29 (00:42);Freejam;Freejam
1;Grand Theft Auto V;Apr 14, 2015;$59.99;28% (67%/96%);5,000,000 .. 10,000,000;23 %;07:59 (02:14);Rockstar North;Rockstar Games
2;Half-Life;Nov 8, 1998;$9.99;93% (95%/96%);5,000,000 .. 10,000,000;6 %;01:22 (00:01);Valve;Valve
31;Sid Meier's Civilization V;Sep 21, 2010;$29.99;95% (96%/90%);5,000,000 .. 10,000,000;6 %;07:07 (02:30);Firaxis Games, Aspyr (Mac), Aspyr (Linux);2K, Aspyr (Mac), Aspyr (Linux)
37;Half-Life 2: Episode Two;Oct 10, 2007;$7.99;90% (94%/90%);5,000,000 .. 10,000,000;2 %;06:59 (00:11);Valve;Valve
45;Left 4 Dead;Nov 17, 2008;$19.99;90% (94%/89%);5,000,000 .. 10,000,000;2 %;03:19 (00:07);Valve;Valve
48;Borderlands 2;Sep 17, 2012;$19.99;95% (96%/89%);5,000,000 .. 10,000,000;19 %;04:33 (00:02);Gearbox Software, Aspyr (Mac), Aspyr (Linux);2K, Aspyr (Mac), Aspyr (Linux)
103;Tomb Raider;Mar 4, 2013;$2.99;93% (95%/86%);5,000,000 .. 10,000,000;3 %;10:45 (00:14);Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux);Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)
111;Call of Duty: Modern Warfare 2;Nov 11, 2009;$19.99;73% (89%/86%);5,000,000 .. 10,000,000;5 %;01:50 (00:39);Infinity Ward, Aspyr (Mac);Activision, Aspyr (Mac)
116;Rocket League;Jul 7, 2015;$19.99;83% (92%/86%);5,000,000 .. 10,000,000;24 %;07:55 (03:10);Psyonix, Inc.;Psyonix, Inc.
119;Path of Exile;Oct 23, 2013;Free;83% (92%/86%);5,000,000 .. 10,000,000;9 %;17:59 (04:13);Grinding Gear Games;Grinding Gear Games
158;PlanetSide 2;Nov 20, 2012;Free;55% (82%/84%);5,000,000 .. 10,000,000;2 %;11:24 (01:25);Daybreak Game Company;Daybreak Game Company
192;Terraria;May 16, 2011;$9.99;97% (97%/83%);5,000,000 .. 10,000,000;12 %;07:56 (00:33);Re-Logic;Re-Logic
195;SMITE;Sep 8, 2015;Free;55% (82%/83%);5,000,000 .. 10,000,000;5 %;16:52 (02:18);Hi-Rez Studios;Hi-Rez Studios
271;Day of Defeat: Source;Jul 12, 2010;$9.99;70% (88%/80%);5,000,000 .. 10,000,000;2 %;07:30 (00:16);Valve;Valve
322;Day of Defeat;May 1, 2003;$4.99;68% (87%/79%);5,000,000 .. 10,000,000;3 %;02:06 (00:02);Valve;Valve
418;Evolve Stage 2;Feb 10, 2015;Free;26% (66%/77%);5,000,000 .. 10,000,000;1 %;01:38 (01:02);Turtle Rock Studios;2K
529;Neverwinter;Dec 5, 2013;Free;46% (78%/74%);5,000,000 .. 10,000,000;2 %;40:02 (04:39);Cryptic Studios;Perfect World Entertainment
598;Loadout;Jan 31, 2014;N/A;53% (81%/72%);5,000,000 .. 10,000,000;2 %;51:43 (00:25);Edge of Reality;Edge of Reality
626;ARK: Survival Evolved;Aug 29, 2017;$59.99;29% (68%/70%);5,000,000 .. 10,000,000;9 %;16:43 (03:08);Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC;Studio Wildcard
658;Rust;Feb 8, 2018;$34.99;50% (80%/69%);5,000,000 .. 10,000,000;15 %;17:49 (03:26);Facepunch Studios;Facepunch Studios
795;Dirty Bomb;Jun 2015;Free;50% (80%/63%);5,000,000 .. 10,000,000;3 %;23:15 (00:58);Splash Damage;Warchest Ltd.
812;Warface;Jul 1, 2014;Free;32% (70%/62%);5,000,000 .. 10,000,000;3 %;19:21 (01:28);Crytek;My.com
932;Counter-Strike Nexon: Zombies;Oct 7, 2014;Free;25% (65%);5,000,000 .. 10,000,000;2 %;44:27 (01:01);Nexon;Nexon Korea Corporation
1019;APB Reloaded;Dec 6, 2011;Free;23% (63%);5,000,000 .. 10,000,000;3 %;33:08 (01:29);Little Orbit;Little Orbit
1456;H1Z1 Test Server;Feb 24, 2016;N/A;14% (54%);5,000,000 .. 10,000,000;1 %;01:20 (00:01);Daybreak Game Company;Daybreak Game Company
1474;Clicker Heroes;May 13, 2015;Free;76% (90%);5,000,000 .. 10,000,000;4 %;04:48 (00:11);Playsaurus;Playsaurus
1642;Trove;Jul 9, 2015;Free;44% (77%);5,000,000 .. 10,000,000;3 %;17:29 (00:52);Trion Worlds;Trion Worlds
1799;Ricochet;Nov 1, 2000;$4.99;44% (77%);5,000,000 .. 10,000,000;3 %;00:33 (00:01);Valve;Valve
1842;Half-Life Deathmatch: Source;May 1, 2006;$9.99;35% (72%);5,000,000 .. 10,000,000;2 %;00:06 (00:01);Valve;Valve
1893;Deathmatch Classic;Jun 1, 2001;$4.99;55% (82%);5,000,000 .. 10,000,000;4 %;01:02 (00:01);Valve;Valve
2038;Team Fortress Classic;Apr 1, 1999;$4.99;53% (81%);5,000,000 .. 10,000,000;3 %;01:20 (00:01);Valve;Valve
2203;theHunter Classic;Jun 3, 2014;Free;7% (42%);5,000,000 .. 10,000,000;1 %;00:38 (01:24);Expansive Worlds, Avalanche Studios;Expansive Worlds, Avalanche Studios
2311;Black Squad;Jul 28, 2017;Free;39% (74%);5,000,000 .. 10,000,000;9 %;09:17 (00:50);NS STUDIO;NEOWIZ, NEOBRICKS
2444;Brawlhalla;Oct 17, 2017;Free;60% (84%);5,000,000 .. 10,000,000;9 %;08:22 (01:09);Blue Mammoth Games;Ubisoft
2677;ARK: Survival Of The Fittest;Aug 29, 2017;$59.99;24% (64%);5,000,000 .. 10,000,000;1 %;00:11 (00:05);Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC;Studio Wildcard
12;Company of Heroes;Sep 11, 2006;$19.99;79% (91%/93%);2,000,000 .. 5,000,000;3 %;03:48 (01:04);Relic Entertainment;SEGA
13;Company of Heroes - Legacy Edition;Sep 11, 2006;$19.99;87% (93%/93%);2,000,000 .. 5,000,000;1 %;03:59 (01:58);Relic Entertainment;SEGA
14;Grand Theft Auto: San Andreas;Jun 6, 2005;$14.99;70% (88%/93%);2,000,000 .. 5,000,000;5 %;09:27 (00:11);Rockstar Games;Rockstar Games
33;Grand Theft Auto IV;Dec 2, 2008;$19.99;23% (63%/90%);2,000,000 .. 5,000,000;3 %;12:04 (00:56);Rockstar North, Rockstar Toronto;Rockstar Games
34;Sid Meier's Civilization III Complete;Oct 30, 2001;$4.99;73% (89%/90%);2,000,000 .. 5,000,000;1 %;00:04 (00:04);Firaxis Games;2K
42;Empire: Total War;Mar 3, 2009;$19.99;73% (89%/90%);2,000,000 .. 5,000,000;3 %;02:15 (00:45);The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux);SEGA, Feral Interactive (Mac), Feral Interactive (Linux)
43;Stardew Valley;Feb 26, 2016;$14.99;97% (97%/89%);2,000,000 .. 5,000,000;19 %;07:16 (02:10);ConcernedApe;Chucklefish
44;XCOM: Enemy Unknown;Oct 8, 2012;$29.99;90% (94%/89%);2,000,000 .. 5,000,000;2 %;01:58 (01:05);Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux);2K, Feral Interactive (Mac), Feral Interactive (Linux)
47;DARK SOULS III;Apr 11, 2016;$59.99;76% (90%/89%);2,000,000 .. 5,000,000;14 %;09:05 (02:43);FromSoftware, Inc.;FromSoftware, Inc., BANDAI NAMCO Entertainment
56;Sid Meier’s Civilization VI;Oct 20, 2016;$59.99;29% (68%/88%);2,000,000 .. 5,000,000;7 %;08:12 (03:16);Firaxis Games, Aspyr (Mac), Aspyr (Linux);2K, Aspyr (Mac), Aspyr (Linux)
59;Far Cry 3;Dec 4, 2012;$19.99;70% (88%/88%);2,000,000 .. 5,000,000;4 %;11:15 (02:48);Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai;Ubisoft
62;BioShock 2;Feb 9, 2010;$19.99;73% (89%/88%);2,000,000 .. 5,000,000;1 %;00:01 (00:01);2K Marin, 2K China, Digital Extremes, 2K Australia, Feral Interactive (Mac);2K, Feral Interactive (Mac)
64;Torchlight II;Sep 20, 2012;$19.99;90% (94%/88%);2,000,000 .. 5,000,000;2 %;01:42 (00:21);Runic Games;Runic Games
66;Dying Light;Jan 26, 2015;$15.99;83% (92%/87%);2,000,000 .. 5,000,000;11 %;08:29 (01:50);Techland;Techland Publishing
70;Battlefield: Bad Company 2;Mar 2, 2010;$19.99;65% (86%/87%);2,000,000 .. 5,000,000;5 %;02:54 (01:10);DICE;Electronic Arts
72;Subnautica;Jan 23, 2018;$19.99;87% (93%/87%);2,000,000 .. 5,000,000;5 %;03:19 (01:12);Unknown Worlds Entertainment;Unknown Worlds Entertainment
81;Company of Heroes: Opposing Fronts;Sep 27, 2007;$19.99;79% (91%/87%);2,000,000 .. 5,000,000;0 %;00:07 (00:04);Relic Entertainment;SEGA
87;Call of Duty: Modern Warfare 2;Nov 12, 2009;$19.99;73% (89%/86%);2,000,000 .. 5,000,000;3 %;00:28 (00:02);Infinity Ward, Aspyr (Mac);Activision, Aspyr (Mac)
88;Tribes: Ascend;Jun 27, 2012;Free;46% (78%/86%);2,000,000 .. 5,000,000;1 %;42:06 (56:01);Hi-Rez Studios;Hi-Rez Studios
96;Saints Row IV;Aug 19, 2013;$14.99;83% (92%/86%);2,000,000 .. 5,000,000;2 %;10:50 (01:03);Deep Silver Volition;Deep Silver
98;The Lord of the Rings Online;Jun 6, 2012;Free;53% (81%/86%);2,000,000 .. 5,000,000;1 %;13:13 (16:40);Standing Stone Games, LLC;Standing Stone Games, LLC
121;DOOM;May 12, 2016;$29.99;83% (92%/85%);2,000,000 .. 5,000,000;6 %;06:49 (00:47);id Software;Bethesda Softworks
